ID,INN,Name,Price,Category,NReviews,Rating,Country,Volume
1000,7718979307,Клавиатура GMNG XK1,4669,keyboard,9,4.0,Россия,0
1001,7718979307,Клавиатура A4TECH Fstyler FK10,1154,keyboard,25,5.0,Россия,0
1002,7718979307,Клавиатура Oklick 845M,1369,keyboard,10,4.5,Россия,0
1003,7718979307,Клавиатура A4TECH KV-300H,2850,keyboard,449,4.5,Россия,0
1004,7718979307,Клавиатура Oklick 890S,1869,keyboard,50,4.5,Россия,0
1005,7718979307,Клавиатура A4TECH Bloody B130N,1860,keyboard,1,5.0,Россия,0
1006,7718979307,Клавиатура Logitech K120,2050,keyboard,1,2.0,Россия,0
1007,7718979307,Клавиатура SunWind SW-KB200 for business,469,keyboard,18,4.5,Россия,0
1008,7718979307,Клавиатура Oklick 90M,399,keyboard,71,4.0,Россия,0
1009,7718979307,Клавиатура A4TECH Bloody B820R,4330,keyboard,78,4.5,Россия,0
1010,7718979307,Клавиатура A4TECH KK-3,889,keyboard,3,3.5,Россия,0
1011,7718979307,Клавиатура A4TECH Bloody B810R Battlefield,3320,keyboard,14,5.0,Россия,0
1012,7718979307,Клавиатура A4TECH KR-85,1180,keyboard,40,4.5,Россия,0
1013,7718979307,Клавиатура Acer OKW122,799,keyboard,3,4.5,Россия,0
1014,7718979307,Клавиатура A4TECH Fstyler FBX50C,3390,keyboard,19,4.5,Россия,0
1015,7718979307,Клавиатура A4TECH KR-83,989,keyboard,19,4.5,Россия,0
1016,7718979307,Клавиатура A4TECH Fstyler FBK25,1989,keyboard,20,4.5,Россия,0
1017,7718979307,Клавиатура MSI Vigor GK30 RU,3130,keyboard,29,5.0,Россия,0
1018,7718979307,Клавиатура A4TECH Bloody S98 Aviator,5450,keyboard,11,5.0,Россия,0
1019,7718979307,Клавиатура A4TECH Fstyler FX60,2499,keyboard,25,4.5,Россия,0
1020,7718979307,Клавиатура Logitech K120 for business,2799,keyboard,118,4.5,Россия,0
1021,7718979307,Клавиатура SunWind SW-KB100,399,keyboard,14,4.0,Россия,0
1022,7718979307,Клавиатура Oklick K225W,929,keyboard,7,4.5,Россия,0
1023,7718979307,Клавиатура A4TECH Bloody B314,2930,keyboard,111,4.0,Россия,0
1024,7718979307,Клавиатура Oklick 130M,469,keyboard,105,3.5,Россия,0
1025,7718979307,Клавиатура Oklick 120M,549,keyboard,41,4.0,Россия,0
1026,7718979307,Клавиатура Acer OKW120,1099,keyboard,0,0.0,Россия,0
